epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,train_macro_f1,validation_macro_f1,run
1,3.1656510107996505,3.185835022084853,0.05712012728719173,0.037037037037037035,0.023079153613807784,0.012728251490626013,baseline_cnn
2,3.1355305998076615,3.183096591164084,0.05473349244232299,0.06222222222222222,0.02634657857492706,0.029838909789494716,baseline_cnn
3,3.130257348674551,3.2090219806222353,0.05743834526650756,0.06444444444444444,0.039305296031981345,0.05618883989931192,baseline_cnn
4,3.094566208715657,3.1922921124626606,0.0609387430389817,0.05555555555555555,0.039480378198982403,0.04125225182205012,baseline_cnn
5,3.0818762093706593,3.2026360764222987,0.0711217183770883,0.0725925925925926,0.05027205788108883,0.04696624156506735,baseline_cnn
6,3.1123698801181394,3.250856461244471,0.0609387430389817,0.04148148148148148,0.03741503128945584,0.020514677958283874,baseline_cnn
7,3.071473801712347,3.199910873525283,0.09896579156722354,0.07185185185185185,0.061952295685234464,0.046258375988315927,baseline_cnn
8,3.0559674868450215,3.2499036985285144,0.06173428798727128,0.05407407407407407,0.045718661834380614,0.04461868703768516,baseline_cnn
9,3.0785679914265796,3.3173453246845916,0.07525855210819411,0.06666666666666667,0.05641317988639439,0.04796234851516784,baseline_cnn
10,2.9813460229917337,3.2140204373527976,0.08273667462211615,0.0674074074074074,0.06567401211857396,0.049873310352154705,baseline_cnn
