true_label,A major,A minor,A# major,A# minor,B major,B minor,C major,C minor,C# major,C# minor,D major,D minor,D# major,D# minor,E major,E minor,F major,F minor,F# major,F# minor,G major,G minor,G# major,G# minor
A major,7,4,2,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,1,0,0,2,0
A minor,16,5,1,1,0,0,3,2,0,1,0,6,0,6,0,7,0,1,0,2,4,4,0,0
A# major,0,0,19,0,0,0,0,0,0,0,1,1,0,3,0,0,6,0,0,0,2,0,0,0
A# minor,4,1,6,18,0,0,0,1,8,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0
B major,0,0,2,3,0,10,0,0,0,0,0,0,0,1,6,0,0,0,2,0,0,0,0,0
B minor,7,4,1,6,2,28,0,0,0,0,1,6,0,0,5,0,0,0,2,4,6,0,0,0
C major,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
C minor,0,6,9,0,0,1,21,45,0,0,0,4,12,0,2,3,3,16,0,2,0,7,3,2
C# major,0,0,0,2,1,0,0,0,19,9,0,0,0,0,2,0,0,0,0,0,0,0,5,10
C# minor,3,1,0,6,1,0,0,2,23,27,0,0,0,0,4,0,0,2,0,1,0,1,0,5
D major,1,0,0,0,0,0,0,0,1,1,11,27,0,0,0,3,0,0,2,8,1,1,0,0
D minor,0,1,1,1,0,0,7,0,0,0,18,53,0,1,0,0,1,0,0,1,0,4,0,0
D# major,0,0,0,0,0,0,2,3,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0
D# minor,0,1,2,13,0,0,0,7,0,0,0,7,8,15,0,0,0,0,0,0,0,0,0,3
E major,0,0,0,0,0,0,0,5,0,0,0,0,0,1,6,11,8,0,0,0,0,0,1,0
E minor,0,4,5,0,1,2,2,0,0,0,0,0,0,0,18,40,7,2,0,10,5,0,0,0
F major,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,5,0,1,0,0,1,0
F minor,0,1,2,20,0,0,3,9,2,0,0,0,0,0,1,2,17,60,0,2,0,0,1,0
F# major,0,0,0,1,0,0,0,0,5,0,0,0,0,14,0,0,0,1,8,4,0,0,4,3
F# minor,4,0,0,0,0,2,3,5,3,1,2,0,0,0,1,0,0,0,5,24,1,1,0,4
G major,0,0,0,0,0,6,0,3,0,0,3,2,0,1,0,0,0,0,0,2,15,8,0,0
G minor,0,3,5,0,0,0,2,5,4,0,1,10,0,1,2,2,1,1,0,0,10,25,1,2
G# major,0,0,0,0,0,0,0,7,1,0,0,0,2,4,0,0,0,9,0,0,0,3,14,0
G# minor,0,0,0,0,0,0,0,2,4,0,0,0,0,7,2,0,0,0,0,7,0,3,9,14
