split,chunk_idx,count,split_total,percent_of_split
test,0,169,1352,12.5
test,1,169,1352,12.5
test,2,169,1352,12.5
test,3,169,1352,12.5
test,4,169,1352,12.5
test,5,169,1352,12.5
test,6,169,1352,12.5
test,7,169,1352,12.5
train,0,785,6280,12.5
train,1,785,6280,12.5
train,2,785,6280,12.5
train,3,785,6280,12.5
train,4,785,6280,12.5
train,5,785,6280,12.5
train,6,785,6280,12.5
train,7,785,6280,12.5
val,0,168,1344,12.5
val,1,168,1344,12.5
val,2,168,1344,12.5
val,3,168,1344,12.5
val,4,168,1344,12.5
val,5,168,1344,12.5
val,6,168,1344,12.5
val,7,168,1344,12.5
