key_24,train,val,test
C minor,9.75,9.36,9.88
F minor,8.75,8.77,8.72
E minor,7.0,7.02,6.98
D minor,6.12,5.85,6.4
C# minor,6.0,5.85,5.81
G minor,6.0,5.85,5.81
A minor,5.12,5.26,5.23
B minor,5.12,4.68,5.23
F# minor,3.88,4.09,4.07
D major,3.88,3.51,4.07
A# minor,3.75,3.51,4.07
D# minor,3.75,3.51,4.07
C# major,3.62,3.51,3.49
G# major,3.25,3.51,2.91
G# minor,3.12,2.92,3.49
F# major,3.0,2.92,3.49
G major,2.75,2.92,2.91
A# major,2.75,2.92,2.33
E major,2.38,2.34,2.33
D# major,2.12,2.34,1.74
F major,2.12,2.34,1.74
B major,2.0,2.34,1.74
C major,1.88,2.34,1.74
A major,1.88,2.34,1.74
