split,key_24,count,split_total,percent_of_split
test,A major,3,169,1.7751479289940828
test,A minor,9,169,5.325443786982249
test,A# major,4,169,2.366863905325444
test,A# minor,7,169,4.142011834319527
test,B major,3,169,1.7751479289940828
test,B minor,9,169,5.325443786982249
test,C major,3,169,1.7751479289940828
test,C minor,17,169,10.059171597633137
test,C# major,6,169,3.5502958579881656
test,C# minor,10,169,5.9171597633136095
test,D major,7,169,4.142011834319527
test,D minor,11,169,6.508875739644971
test,D# major,3,169,1.7751479289940828
test,D# minor,7,169,4.142011834319527
test,E major,4,169,2.366863905325444
test,E minor,12,169,7.100591715976331
test,F major,3,169,1.7751479289940828
test,F minor,15,169,8.875739644970414
test,F# major,5,169,2.9585798816568047
test,F# minor,6,169,3.5502958579881656
test,G major,5,169,2.9585798816568047
test,G minor,10,169,5.9171597633136095
test,G# major,5,169,2.9585798816568047
test,G# minor,5,169,2.9585798816568047
train,A major,15,785,1.910828025477707
train,A minor,40,785,5.095541401273886
train,A# major,21,785,2.67515923566879
train,A# minor,30,785,3.821656050955414
train,B major,15,785,1.910828025477707
train,B minor,41,785,5.222929936305733
train,C major,14,785,1.78343949044586
train,C minor,78,785,9.936305732484078
train,C# major,29,785,3.694267515923567
train,C# minor,47,785,5.987261146496816
train,D major,29,785,3.694267515923567
train,D minor,49,785,6.24203821656051
train,D# major,17,785,2.1656050955414012
train,D# minor,30,785,3.821656050955414
train,E major,19,785,2.420382165605096
train,E minor,55,785,7.006369426751593
train,F major,17,785,2.1656050955414012
train,F minor,68,785,8.662420382165605
train,F# major,23,785,2.9299363057324843
train,F# minor,31,785,3.949044585987261
train,G major,22,785,2.802547770700637
train,G minor,46,785,5.859872611464969
train,G# major,25,785,3.1847133757961785
train,G# minor,24,785,3.0573248407643314
val,A major,4,168,2.380952380952381
val,A minor,8,168,4.761904761904762
val,A# major,5,168,2.976190476190476
val,A# minor,6,168,3.571428571428571
val,B major,3,168,1.7857142857142856
val,B minor,8,168,4.761904761904762
val,C major,3,168,1.7857142857142856
val,C minor,16,168,9.523809523809524
val,C# major,6,168,3.571428571428571
val,C# minor,10,168,5.952380952380952
val,D major,6,168,3.571428571428571
val,D minor,10,168,5.952380952380952
val,D# major,4,168,2.380952380952381
val,D# minor,6,168,3.571428571428571
val,E major,4,168,2.380952380952381
val,E minor,11,168,6.547619047619048
val,F major,4,168,2.380952380952381
val,F minor,15,168,8.928571428571429
val,F# major,5,168,2.976190476190476
val,F# minor,7,168,4.166666666666666
val,G major,5,168,2.976190476190476
val,G minor,10,168,5.952380952380952
val,G# major,6,168,3.571428571428571
val,G# minor,6,168,3.571428571428571
