split,pitch_class,count,split_total,percent_of_split
test,0.0,20,169,11.834319526627219
test,1.0,16,169,9.467455621301776
test,2.0,18,169,10.650887573964498
test,3.0,10,169,5.9171597633136095
test,4.0,16,169,9.467455621301776
test,5.0,18,169,10.650887573964498
test,6.0,11,169,6.508875739644971
test,7.0,15,169,8.875739644970414
test,8.0,10,169,5.9171597633136095
test,9.0,12,169,7.100591715976331
test,10.0,11,169,6.508875739644971
test,11.0,12,169,7.100591715976331
train,0.0,92,785,11.719745222929937
train,1.0,76,785,9.681528662420384
train,2.0,78,785,9.936305732484078
train,3.0,47,785,5.987261146496816
train,4.0,74,785,9.42675159235669
train,5.0,85,785,10.828025477707007
train,6.0,54,785,6.8789808917197455
train,7.0,68,785,8.662420382165605
train,8.0,49,785,6.24203821656051
train,9.0,55,785,7.006369426751593
train,10.0,51,785,6.496815286624204
train,11.0,56,785,7.13375796178344
val,0.0,19,168,11.30952380952381
val,1.0,16,168,9.523809523809524
val,2.0,16,168,9.523809523809524
val,3.0,10,168,5.952380952380952
val,4.0,15,168,8.928571428571429
val,5.0,19,168,11.30952380952381
val,6.0,12,168,7.142857142857142
val,7.0,15,168,8.928571428571429
val,8.0,12,168,7.142857142857142
val,9.0,12,168,7.142857142857142
val,10.0,11,168,6.547619047619048
val,11.0,11,168,6.547619047619048
